"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C2,C3,C9","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C14663"
"10uF","C4,C1,C7,C11","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C19702"
"4.7uF/25V","C5","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1779"
"100nF","C8,C6","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C14663"
"33pF","C10","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C1663"
"B5819W","D1,D2","D_SOD-123","C8598"
"500mA/24V (CFS06V3T1R0)","F1","Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C163118"
"GZ2012D601TF","FB1","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1017"
"2.2 - 4.7uH","L1","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","C86074"
"Q_PNP_BCE","Q1","SOT-23_Handsoldering","C8542"
"100","R1,R2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C22775"
"20K","R3","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C4184"
"8.2K","R4","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C25981"
"4.7k","R5,R6,R7,R9,R8,R10,R14,R12,R17","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C23162"
"24k","R11","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C23352"
"75k","R13,R16,R15","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C23242"
"HX711","U1","SOP-16_4.55x10.3mm_P1.27mm","C43656"
"MP2451","U3","SOT-23-6_Handsoldering","C14123"
"LM75B","U4","SOIC-8_3.9x4.9mm_P1.27mm","C34565"
